Statement,Emotion
holy shit it just a bee sting like fuck you're not dying ,anger
How the fu*k! Who the heck! moved my fridge!... should I knock the landlord door. #mad ## ,anger
I dislike people who get offended by the littlest shit . ,anger
"What the fuck am I supposed to do with no lunch, no dinner, no money and I'm off to work #furious #hangry #day5 ",anger
"it does. if one person ruins season 13 for me, I will be so angry ",anger
"What the fuck am I supposed to do with no lunch, no dinner, no money and I'm off to work #hangry #day5 ",anger
not only are your buses unreliable your e ticket app is too unable to get on two buses and late for work #fuming #useless reply ,anger
So my Indian Uber driver just called someone the N word. If I wasn't in a moving vehicle I'd have jumped out #disgusted #offended ,anger
"The liberal outrage over don king saying the N-word really angers me. The white yuppie progressives can go fuck themselves, shame on blacks ",anger
Just paid for chicken at and didn't even get any ?????? there goes 4 dollars and me as a customer #angry ,anger
but that was a mistake and a half assed excuse and now here i am burning in hell forever ,anger
you have had from me over the years is irrelevant. Its an absolute joke. #manutd #ticketing #fuming #noloyalty #joke #notimpressed ,anger
Part 2-was buzzing for a cheeky squashie or two-this was NOT what i expected.SORT IT OUT! #food #angry ,anger
"Tasers immobilize, if you taser someone why the fuck do you need to shoot them one second later?! This is really sick! #wtf #murder ",anger
Bes! You don't just tell a true blooded hoopjunkie to switch a team that juz destroyed your own team. You juz don't! ,anger
fucked my coupon that goal! #raging ,anger
LVG bribed all the refs against Utd for his own personal revenge. That was a foul you prick. ,anger
"Now that the whole clown rage has scared me shitless, I'm gonna go cry in my room ",anger
Worst juror ever? Michelle. You were Nicole's biggest threat. #bitter #bb18 ,anger
Your twitter picture just makes me fume. ,anger
"you are a cruel, cruel man. #therewillbeblood ",anger
"That's really it for my madden career that game sucks , ea sports does a piss poor job every year on that shit ",anger
"Ha. Right. I'm from San Jose, CA, and I was offended right there with you. Dave, go on a walk or something next time. ",anger
something needs to be done about people hogging machines - nobody can use 3 machines at one time! #notfair #whypay ,anger
I wonder what American city will be next to protest about police shootings. Who's next? Smh. #whenwillitstop #angry #howmanymoretimes ,anger
another angry white man! ,anger
Have wee pop socks on and they KEEP FALLING OFF INSIDE MY SHOES #rage ,anger
"The majority of people irritate the fuck out of me, cba with people ahahah ",anger
a multimillionaire spoiled brat who gets In a self righteous huff bc his friend is Muslim is a non starter bye! ,anger
Wont use using again!! These guys cant get nothing right!! ,anger
don't provoke me to anger ,anger
You complain all the time and then wonder why people never want to see you. You acc rile me up. Stfuuu!!!! ,anger
Bloods boiling ,anger
"Leave it on there, rule,nimber 1 of carpet cleaning!!! #furious #worsethananatomicbomb #accidentlyspillbeeronthecarpet ",anger
wallah my blood is boiling I need to take a nap ugh ,anger
I swear if blocks me I'm going to hit her back ,anger
"I am angry at the student for being a racist, and the teacher for not stopping it, and at the class for letting it go by. ",anger
I'm about to block everyone everywhere posting about the storm. I think everyone is aware of the damn rain and what not so quit. #damn #rage ,anger
I'm just a fuming ball of anger today ?? ,anger
I didn't find out about this till today due to my bff telling me. I am so disgusted and offended by this. ,anger
thanks for saying My wife and I were getting our iphones today and then losing both of them with no ETA #thanks #angry ,anger
A not turning up? Why am I not surprised. Late for work again! #fuming ,anger
Police Officers....should NOT have the right to just 'shoot' human beings without provocation. It's ,anger
angry already ,anger
... flat party and I instantly get bollocked about it. #fuming ,anger
add tracking but resent them ,anger
This man is an affront to our justice system. ,anger
"SOMEONE LET SNAKES IN MY HOUSE, I BET IT I KILL THAT BUGGER WHEN I GET MY HANDS ON HIM #HuckFP2 ",anger
"ummm, the blog says 'with Simon Stehr faking 7th'...I'll expect an investigation forthwith. This is an #outrage ",anger
black armed thug with a record carrying gun illegally gets shot by black cop. #outrage This is a joke.Let em destroy their town ,anger
..... wakes up and says 'have you tried changing her nappy?' ?????? #rage!!!! ,anger
Someone needs to tell Candice she'll be stuck with that shitty pout if the wind changes. #GBBO ,anger
turn that shit off! Home Button under Accessibility. nnWhen did innovation become mind fuckery? . #iphonePhoneHome ,anger
I just love it when people make plans for me without actually including me in this process #rage ,anger
"Smh, remove ideologically bankrupt and opportunistic establishment now. They're burning all bridges and social contracts. #anger ",anger
"where's your outrage that your party nominated a lying, corrupt person? And received donations from nations who support terror ",anger
how can you even forget to pick ur fave child up from school #offended ,anger
I get so angry at people that don't know that you don't have a stop sign on Francis and you do at Foster #road #rage ,anger
they irritate me. Them and their inch thick made up masks ,anger
fucked my coupon that goal! ,anger
How was Natalie one of the top three favorites?! #toofaced and #bitter ?? ,anger
Democrats and their voters have zero tolerance for honesty. They associate honesty with anger and hate. ,anger
#rage?? The #CrookedCourt said #rage MANY times to explain away the brutal killings of #Petits by #Hayes &amp; #Komisarjevsky ,anger
"To'Why can't we brothers protect one another? No one's serious, and it makes me furious. Don't be misled, just think of Fred.' #mayfield ",anger
..... wakes up and says 'have you tried changing her nappy?' ?????? !!!! ,anger
you have had from me over the years is irrelevant. Its an absolute joke. #manutd #ticketing #noloyalty #joke #notimpressed ,anger
All hell is breaking loose in Charlotte. #CharlotteProtest #anger #looting ,anger
There's this Bpharm4 guy Eish that guy brings anger into my life. When I see him nje like darkness fills me will know ,anger
i had an hour of football practice under the boiling sun and now i have 2hr volleyball practice under the BOILING SUN AGAIN ,anger
testing #angry ,anger
put so much artefact points into fury and cant raid... literally wasted 1 month of my life! Thanks blizzard ,anger
How is it suppose to work if you do that? Wtf dude? Thanks for pissing me off. #furious ,anger
i was angry. ,anger
That feel when you travel 700 miles to pick up a form that arrives in the post two days after you leave. #fume ,anger
'Congratulations your Free 1 month has been activated' Then charges £34.80 the same month. Absolutely furious ?? ,anger
Hell hath no fury like a women scorned. It's the affair. Not the parenting ,anger
straight people are canoodling on the quad and I'm #offended ,anger
"I can definitely feel my irritation today, lord give me strength ",anger
against Chelsea anything is possible haha. I'm fuming about that bet ???????????? ,anger
When you break a record in #madden I wish it didn't say the same shit after every rush like you just broke the record. #shutupphilsimms ,anger
apparently you are to contact me. Sofas were meant to be delivered today. Old ones gone. Sitting on floor. No sofas! #fuming ,anger
I have 1000 rabid grizzly bears I'm going to scatter in neighborhoods all over America.nnThey're poor refugees!nn#InYourNeighborhoodNotDC ,anger
why dont #blm #thugs want #justice when its black on black #gang crime? They only #rage and cry #racism when its a #cop ,anger
I'll be honest.. I hope that annoying Southern bint with the 'look at me' pout goes out this week! Selasi #FTW ,anger
Zero help from customer service. Just pushing the buck back and forth and promising callbacks that don’t happen. #loathing ,anger
"he's stupid, I hate him lol #bitter ",anger
what a joke!! Cut our internet off early 'by mistake' and then don't reinstate it when we no longer need an engineer ?? ,anger
"yeah I received a fine today which I am furious about, currently appealing it after being a member for so long... ",anger
People irritate me ?? ,anger
Men in rage strike those that wish them best. #rage #emotions #negative #positive #wish #strike #martial #arts #control #believe #best #hope ,anger
"In 2016, Black people are STILL fighting to be recognized as human beings. #cantsleep ",anger
I swear if blocks me I'm going to hit her back #revenge ,anger
what a joke!! Cut our internet off early 'by mistake' and then don't reinstate it when we no longer need an engineer ?? #fuming ,anger
47 unarmed blacks killed by white cops in 2015. That many die every month in Chicago wheres the #outrage ,anger
"why does tracking show my equipment delivered, when it wasn't? Why is my service suddenly delayed? We've already 3 weeks. ",anger
Does she really need to pout all the time - getting on my nerves #GBBO ,anger
Ever put your fist through your laptops screen? If so its time for a new one lmao #rage #anger #hp ,anger
Maybe also being attacked by Tom's rabid fans to whom he &amp; his clothes were always perfect also put me off him... ,anger
"Dear future big brother players, just chase dick all season and you too can win 500,00 dollars and an Sti #bb18 #bitter ",anger
"Nobody in that street burning and looting and terrifying innocent citizens was there, either. ",anger
#nothappy and still #charging the #fullprice ???? #fuming some your #bestrides ???? ,anger
Forgot to eat dinner and now I'm furious with everything and everyone ,anger
the girl sitting in front of me is chewing her gum like a cow &amp; im ready to snap ?? ,anger
"both are nonsensical. If there's injustice against blacks, why add to it by destroying black property. It's misdirected anger ",anger
Can someone make me a priority list of which things I should be outraged at + in which order? #racism #animalrights #abortion #cops ,anger
wow!! My bill is £44.77 and hav a text from u to prove that and you have taken £148!!!!! #swines #con! ,anger
You a fuck boy if you run drag routes back to back in madden ,anger
I got fever highsnI got boiling blood ,anger
he has BAD TEMPERAMENT #tantrums #HissyFits ,anger
I can't even right now #bb18 #rage ,anger
"Haha.... Actually, after the Doggies I'm barracking for Anyone But GWS! #bitter ",anger
Why are people that don't have iPhones so bitter about iPhones???? Can someone explain ,anger
The guy who calls people 'cuck' and is anti-BLM is offended by idea that he might not be pro-policing reform? That's amazing. ,anger
always unhappy and easily offended. ,anger
"shameful display I watched today has left me reeling with so much anger dt I feel like exploding, those clowns should watch it ",anger
All hell is breaking loose in Charlotte. #CharlotteProtest #looting ,anger
When you've still got a whole season of Wentworth to watch and a stupid cunt in work ruins it for us ???? #oldcunt ,anger
Half of Epicenter is shut down its police all over y'all I just burst out in tears this is fucking terrible #KeithLamontScott ,anger
Not giving a fuck is better than revenge. ,anger
we about to get shit on by the wrath of winter out of nowhere ,anger
WHY though! Why did u want to offend Americans? ,anger
47 unarmed blacks killed by white cops in 2015. That many die every month in Chicago wheres the ,anger
I don't think Monalisa has respect for anyone but herself! I think she'll ruffle a few feathers. #TheJail ,anger
I asked for my parcel to be delivered to a pick up store not my address #poorcustomerservice ,anger
Thought the Xbox one s madden bundle would come with a physical copy of madden not a code?? it's gonna take fucking forever to download lol ,anger
he has BAD TEMPERAMENT #HissyFits ,anger
#My #blood is so #bitter for satan to test #becouse #cleanse by the #blood of #Jesus christ....#amen. ,anger
The new gun emoji in iOS10 is not enough to show the anger I have towards a number of things. ,anger
she is just jealous and a cry baby! #bitter #gladsheisgone #crybaby ,anger
I just wanna know why there's no outrage for black on black crime and no one knows those victims but BLM is out to kill cops based on media ,anger
Forever angry that gh ruined Molly and morgan's bondfriendship #bitter ,anger
Spurs radio commentator referred to Mauricio Pochettino as 'MoPo' and I felt a sudden surge of rage. ,anger
huh? We have a sprint coach? We're the slowest team in the comp. Talk about robbing a living. #outrage ,anger
Can't believe I've only got 2 days off left ?? #backtoreality #raging ,anger
fuming! ,anger
Taking a break from the #wedding to #rage at the general #stupidity of certain #people on the #internet. ,anger
Ever put your fist through your laptops screen? If so its time for a new one lmao #hp ,anger
•My brother grabbed me in a aggressive manner and as always threw tantrums like a kid only knowing how to express himself-- ,anger
"Don't join they put the phone down on you, talk over you and are rude. Taking money out of my acc willynilly! ",anger
"I assure you there is no laughter, but increasing anger at the costs, and arrogance of Westminster. ",anger
"People need a way to escape,escape what?This corrupted world.This reality. This joke.This fury of constant pain &amp; stress.We need a vacation ",anger
I love my black people..... I really really do. But .... my people really do irritate the living hell outta me all cause I'm different. ?? ,anger
I don't talk about politics because people nowadays get offended easily! ,anger
oh yeah. I HATE the air raid and I don't like the OregonBaylor offense and I'm not a fan of the ole miss one either ,anger
"not received verification email, asked for it to be resent 5 times still nothing. ",anger
Unbelievable takes 10 minutes to get through to then there's a fault and the call hangs up #treatcustomersfairly ,anger
"No justification for shooting without provocation, even if the person has a bad history. Justification is not the way to go ",anger
I genuinely think I have anger issues ,anger
Im honestly offended ,anger
Michelle is one of the worst players in bb history #bb18 #bbfinale #bitter ,anger
I'm so annoyedsad YouTube is burning itself to the ground ???? ,anger
"How can I tell Happy Anniversary, when u are not happy.. #bitter #ampalaya #paitpaitanangpeg ",anger
Just paid for chicken at and didn't even get any ?????? there goes 4 dollars and me as a customer ,anger
"Never forget that 5Live cancelled programs, to allow them to extend 606 so people could call in and detail their outrage after our behaviour ",anger
When someone rudely says all women should have long hair and your inner feminist tries not to rage ,anger
"Absolutely raging at the changes to CAS, what a joke ",anger
Girls irritate me so much lol ,anger
...I'm waiting for you to figure out I'm like... from 0 to 100 real quick with the irritation. ,anger
listen yh don't provoke me cos I'll make you cry ,anger
Did you even give out any pizzas ? Serious fail #hungry #furious #hangry ,anger
Bloody parking ticket ???? ,anger
apparently you are to contact me. Sofas were meant to be delivered today. Old ones gone. Sitting on floor. No sofas! ,anger
Sam- yes we have! Not helpful at all! We need this sorting ASAP! You keep promising stuff that doesn't happen!!!! ,anger
"They're like the rape apologists who inadvertently? make men sound like rabid, mindless beasts. With friends like these... ",anger
And she got all angry telling me 'but what would be doing a 40 year old guy looking for a girl like you' and I felt #offended ,anger
shot by black police woman Typical looney toon thinking. #Hillary #divide #chaos ,anger
"sex offense happens across ALL races, cultures, and creeds &amp; they should be castrated ",anger
Prudence suggests that a 8+% bump over 2-3 weeks should be viewed with SKEPTICISM. MediaHRC axis #angry ,anger
a rabid dog being ridden by the child who has eaten all the flesh off one fellow and the limbs of the other adults. ,anger
that is one thing but attacking and hating is worse - that makes us just like the angry vengeful behavior we detest ,anger
Delete this shit Josh just screenshotted my snap me ,anger
Can someone make me a priority list of which things I should be outraged at + in which order? #outrage #racism #animalrights #abortion #cops ,anger
true. Just me spitting venom because I'm still bitter with Stripe. Like an old man yelling from his porch. ,anger
i will never watch greys anatomy ever ever ever ever ever again if Shonda Rimes takes away another OG character???????????????????? #fuming ,anger
I wonder what would happen if I were to tell some people the truth #savage #uhoh #angry ,anger
"You will never find someone who loved you like I did. And that my love, will be my revenge. ",anger
A not turning up? Why am I not surprised. Late for work again! ,anger
"If you be #angry, which may be the case, &amp; which may be unavoidable, see that the sudden excitement does not become sin. #AlbertBarnes ",anger
shit' doesn't even begin to describe these fiery little demons straight from hell ???? ; ,anger
I am just so bitter today ?? ,anger
Meanwhile white cops keep killing black people. But there's less outrage about that. Strange society that. ,anger
her team must draw from a hat for daily personality #drugged #angry #yeller #quiet #screamer #???? ,anger
Heading home to cut grass in the heat. All I wanna do is go out to eat somewhere air conditioned. #pout #AdultingIsTheWorst ,anger
OOOOOOOOH MY GOD UUUUGGGGHHHHHHHHH #rage ,anger
i will never watch greys anatomy ever ever ever ever ever again if Shonda Rimes takes away another OG character???????????????????? ,anger
specific &amp; intentional way. And part of that intention is to provoke conversation around systemic racism towards blacks. ,anger
I gave up KENDRICK LAMAR to eat barbecue with him. #bitter ,anger
then he said talking about wills uncontrollable animals when moving to another link. These comments do not help! ,anger
sorry I'm just angry my drone flew away ,anger
id be fuming ,anger
shut up hashtags are cool #offended ,anger
'I know you trusted me.' His words were soft as he ignored the anger and focused on the hurt beneath. 'I know I screwed up.' -- ,anger
I wonder what American city will be next to protest about police shootings. Who's next? Smh. #whenwillitstop #howmanymoretimes ,anger
Why mfs so bitter ,anger
"im on holiday for the next round, fuming! ",anger
Did we miss the fact that #BurkeRamsey swung &amp;hit his sister #JonBenet in the face with a golf club previously out of a fit of #anger? ,anger
The point of voting for Trump to push all the pieces off the board game like an angry toddler? Wreck everything for everybody? ,anger
"Like if you aggravate me constantly, byeeeeeeee ",anger
"RIP to the 100s of black men,, women,CHILDREN killed in Chicago. Where is the outrage? ",anger
Inpouring this letter we are dying over against subsist checking quaint virtuoso ways toward fine huff yours l... ,anger
hitting your children as discipline because you're being quite a raging hypocrite if you're not. ,anger
sorry im so #bitter i just. i either want a pure ur or literally any card from the sets i like but every time i draw for the sets i like&gt; ,anger
What King says doesn't matter. The fact he came w psycho Don is by far more of an affront. ,anger
Bloody right ,anger
i have so much hw tonight im offended ,anger
Like hello? I am your first born you must always laugh at my jokes. #offended ,anger
"the outrage has passed and has been replaced by a mute, fatalistic acceptance of the current situation. #fatalism ",anger
Have wee pop socks on and they KEEP FALLING OFF INSIDE MY SHOES ,anger
and apparently he's supposed to have a Scottish accent??? I'm #offended ,anger
"seek to conduct attacks against Israel, intended to provoke a reaction that would further inflame feeling within the Islamic world”. • ",anger
Lost FrequenciesJanieck Devy - Reality Gestort Aber Geil Remix' is raging at ShoutDRIVE! ,anger
what I miss? #outrage ,anger
"It's 'Eye-for-Eye'. Indian Army never forgives, Never Forgets. They always take revenge, Pakistan breaks laws, I.A follows ",anger
Worst juror ever? Michelle. You were Nicole's biggest threat. #bb18 ,anger
luv seeing a man with a scowl on his face walking with a protein shaker clenching his fists. i immediately stop n suck his dick ,anger
Fake people irritate me ,anger
Said it before and I'll say it now: America is really fortunate that black people only want equality and not revenge. ,anger
#Anger or #wrath is an intense emotional response. ,anger
AA have the right of passage when it comes to the 'N' word. Why should he insult him in his church. Ignorant! ,anger
if we let that in id be fuming poor keeping ,anger
"yeah, I've only seen that floated online as a theory, it was probably made up by a bitter stan. I ignore pets v vets crap too ",anger
"when the East wind blue in summer in Durban, S Africa, we still surfed and got #stung badly! Must be carefull-A #sting can harm you ",anger
everyone is against wigan because we are the biggest club #bitter ,anger
"Because it was a perfect illusion, but at least now I know what it was. #angry #ladygaga #iscalming#mysoul ",anger
Candace &amp; her pout are getting right on my tits #GBBO ,anger
I was so looking forward to Then it opened with a #stuartspecial. I literally yelled at my tv. ,anger
BANG! Gordon #Brown has been accused of abusing a gazillion #rabid parrots! ,anger
"Petition for non-Maghrebi PoC to stop buying 'couscous' from white grocery stores and boiling it. That is not couscous, that is trash. ",anger
ESPN just assumed I wanted their free magazines #offended ,anger
Yo there's a kid on my snap chat from LA &amp; they get high off helium gas lmao.... I am like why the fuck lol ,anger
'Today's proceedings and the entire process is an insult to our constituents.' ,anger
I'm sensing a theme here tho lol #angry ,anger
i Lowkey forgot you had twitter and if you don't follow me back im gonna be #offended ,anger
... flat party and I instantly get bollocked about it. ,anger
more like every color looks the same #triggered #colorblind #offended ,anger
than straight people. Even the arse straight guys who think that means a threesome is fine. ,anger
"Yes, it is bad to point out racism lest it provoke the racists. Some racists do indeed not like it. ",anger
This is about him being left off because they wanted to play a heavier game. We needed his offense tho. Amongst others. ,anger
I am offended ,anger
"Hello !nThe bigger the bully, the more crocodile tears. Bullies always act like offended victims. ",anger
Irish citizens boiling drinking water in 2016 leaves one foot firmly in the bog! ,anger
Candice's pout is gonna take someone eye out mate! #GBBO ,anger
I've always had a weird grudge against stingrays ever since one killed Steve Irwin. ,anger
why you gotta use the dark skin emoji #offended ,anger
I'm not saying he might be like big foot but it might be like natural biological father says blood boiling if he cross ,anger
"I really really resent having to go to bed at a sensible hour, you guys. I WANT TO TALK TO MY PEOPLE. ",anger
"Incentivise people to roam the Internet being morally offended, as if they didn't do it enough already. ",anger
not to be That Person™ but i get bitter seeing some ravi stans ,anger
"amen, nothing personal mate, just tired of all of the complaining from our fans, it's Been a relentless tirade of misery ",anger
Michelle is one of the worst players in bb history #bb18 #bbfinale ,anger
Dear Indians..It is hard to swallow this but for once try to swallow this bitter pill...that is.. Pakistan is number one in Test cricket!!! ,anger
"A little nose irritation and a little more chills on my body. I'm so not into flu, into flu, into flu #FallSongs ",anger
"I am #real #sjw, I will not let #america downnI have found us, now go and get usnI let it out and I let it innI #rage I ",anger
Connivers blind to existential fury ,anger
guys irritate me ,anger
#firsttweetever sippin #hotchocolate wondering #why I finally gave in &lt;3 haha #hellloooootwitter - ...its because #facebookisforfamily #rage ,anger
what they should be doing is directing their anger to the thieves in government...#corruption #FeesMustFall ,anger
Need a new outlet for #rage ,anger
ive been through the denial and anger i am in pure acceptance ,anger
"timid but determined version of the rabid beasts beyond the land. Growling beneath my restrained breath, I rip myself -- ",anger
I'm not used to pretty girls that use curse words to express their anger. I just feel like I'm a little bit surprised and turned off as well ,anger
huff puff ,anger
Hell hath not fury like a hamstring cramp. #ouch ,anger
"Actually be arsed with my sister sometimes, she controls the TV 90% of the time and when I watch one thing she gets in a huff ?? ",anger
it's the first expac since wrath that feels like a proper 'evolution' of the game for me ,anger
what happened to the suicide tweet it was a joke obviously how could that offend anyone??? ,anger
relentless echo chamber - negative comments with lots of reverb. Typical bully behavior. ,anger
when you find out the initiative isn't even a thing ?? #revenge ,anger
jojo at 12:30 and not midnight lets rage WRYYYYYY ,anger
"I'll happily be rude to people who personally insult me unprovoked, they deserve it ?? Just as good people deserve respect ",anger
That AK47 leave your spine with a frown ,anger
come on let's make em hate ??make em pout they face ????. ,anger
Recommended reading: Prisoners of Hate by Aaron Beck #anger ,anger
snap meee ,anger
resent ,anger
Forever angry that gh ruined Molly and morgan's bondfriendship ,anger
#disgracefulesin I resent all men in some way; for some or no reason at all. #esinscountdown ,anger
I accidetly dumped boiling water my myself ?? ,anger
"Smh, remove ideologically bankrupt and opportunistic establishment now. They're burning all bridges and social contracts. ",anger
As usual disappointing #offense by ...#Texans ,anger
"he's stupid, I hate him lol ",anger
it's the irritation of not having found the corpse ,anger
never #make a decision when you are .. #angry &gt;_&lt; .... and never make a #promis when you are #happy : :* ,anger
Both Trump + King are relentless self-promoters who don't give a rip about anyone else. A perfect match for both Donalds. ,anger
I cancelled by CBS all access live feeds before JC even said Vic won AFP. Paul.should have won IMO #bitter ,anger
whenever I put 'I wanna be adored' on my brother alwayss sings 'I wanna be a dog' instead just to irritate me ,anger
I was so looking forward to Then it opened with a #stuartspecial. I literally yelled at my tv. #umbrage ,anger
I don't get what point is made when reporting on Charlotte looting Why not explore what looting businesses symbolizes #outrage ,anger
#NAME?,anger
I've left it for my dad to deal with ?? My work is done as soon as it's felt the wrath of my slipper ?? ,anger
"Leave it on there, rule,nimber 1 of carpet cleaning!!! #worsethananatomicbomb #accidentlyspillbeeronthecarpet ",anger
Yikes. The wrath of Maddie... ,anger
you think I came back to twitter and not ruffle a few bushes? Tuh. ,anger
is that an insult? Sounds like a job well done. it's red so it's done the job it was suppose to do #justsaying ,anger
#Hudcomedy #AdamRowe #insult Slutfaceshlongnugget ,anger
I need some to help with my anger ,anger
"never bring back Meech and Bridgette. Crying because someone looks at you? Ugh, and Bridgette. #bitter ",anger
Hey folks sorry if anything offensive got posted on here yesterday my account got hacked. All fixed now though. I hope :- #annoyed ,anger
Now it's time to remove CB from the team somehow. Screw it. Rip the Band-Aid off. It'll sting for a bit but everyone will get over it. ,anger
Candice's pout gets more preposterous by the week. This week it's gone a bit Jack Nicholson's Joker. #GBBO ,anger
unfortunately it won't end there... followers of whichever candidate isn't elected will throw tantrums. No winning this elec ,anger
her team must draw from a hat for daily personality #drugged #yeller #quiet #screamer #???? ,anger
Candice's standing pout face aggravates me every week ,anger
Think I really broke young bull hurt ???????? u can tell by how bitter and mad he is ???????? ,anger
YUUUHH ???? plus clin ep and prevmed ugghhh hahaha #bitter ,anger
"any time a man who got paid to throw temper tantrums speaks up, you gotta listen. ",anger
"As if he heard my thought on the ether, my #ex has just posted #facebook pic of himself snuggling up with said #cats... now Im just #angry ",anger
don't provoke me after letting me down ! ,anger
could never be a angry drunk lol yall weirdos just enjoy your time ,anger
"Yet we still have deaths, road rage, &amp; violations on the road, despite a widely accepted concept of 'personal accountability' while driving ",anger
"Oh, good God. Quentin Letts is doing one of his 'comedy' turns. #angry #BBCTW ",anger
